code	City	Company_Name	Main_Activity	Operating_Revenue	Total_Assets	Revenue_Range	No_of_Companies	Shareholder_Name	Shareholder_Country	CEO_Name
EC1790340481001	Quito	Seguros Oriente Sa	Services	25414	36369	14951	0	Mistral Inversiones Y Titulos C Ltda, Mr Esteban Eduardo Cadena Naranjo, Mr Julio Andres Moreno Mogollon, Mr Julio Marcelo Moreno Montiel	EC	N/A
EC0190086003001	Quito	Constructora Becerra Cuesta C Ltda	Services	25370	0	14951	0	Mr Abelardo Becerra Plaza Miguel, Mr Cesar Miguel Becerra Cuesta, Mr Edward Abelardo Becerra Calderon	EC	N/A
EC0990331928001	Guayaquil	L Henriques & Cia S.A.	Wholesale	25310	13093	14951	4	Mr Carlos Enrique Iturralde Centeno, Mrs Ariana Maria Alvear Gilbert, Mrs Fabiana Maria Alvear Gilbert, Mrs Maria Delia Alvear Gilbert, Mrs Monica Maria Alvear Amaya, Shoumen Investments Sl.	ES,EC	Mr Marcelo Patricio Alvear Amaya
EC1190049406001	Loja	Industria Lojana De Especerias Ile C.A.	Manufacturing; Wholesale	25015	31346	14951	0			Ms Cruz Amada Godoy Ruiz
EC0990839557001	Guayaquil	Solvesa Ecuador S.A.	Wholesale	24791	18573	14951	2	Antar Cinco Cero Seis Sociedad Anonima, Mr Carlos Eduardo Cucalon Aranda, Mrs Vicenta Margarita Bravo Pisco	CR,EC	Ms Vicenta Margarita Bravo Pisco
EC1791301692001	Quito	Bmi Del Ecuador, Compania De Seguros De Vida Sa	Services	24751	22597	14951	16	Bmi Financial Group, Inc., Business Mens Insurance Corp	US	N/A
EC1790427692001	Quito	Panatlantic Logistics S.A.	Services	23973	0	14951	2	Mr Raul Aragundi Uquillas Elger, Mrs Maria Alejandra Aragundi Contreras	EC	N/A
EC1792022169001	San Rafael	Automotores Del Valle Vallemotors S.A.	Wholesale; Services	23866	0	14951	2	Automotores Y Anexos S.A., Mr Daniel Acosta Toral, Mr Javier Acosta Toral, Mr Juan Patricio Acosta Toral, Mr Rafael Arteaga Valdiviezo Fernando, Mrs Maria Alexandra Arteaga Leon	EC	N/A
EC1790646483001	Quito	Sociedad De Turismo Sodetur Sa	Services	23785	0	14951	2	Atlantis Business International Llc, Mr Francisco Isidoro Pinto Cordovez	EC,US	N/A
EC1790268594001	Quito	Caminosca S.A.	Services	23716	32774	14951	120	Cardno Holdings Pty. Ltd., Cardno International Pty Ltd, Cardno Limited	AU	Mr Carlos Diego Fernando Jacome Merino
EC1790143007001	Guayaquil	Ecuatoriana De Granos S.A.	Services	23606	29108	14951	3	Brito-Vaca Cia. Ltda., Delcorp Sa, Moderna Alimentos S.A., Molinos Poultier Sa	EC	Mr Gad Ivan Goldstein Valdez
EC54342	Quito	Instituto Ecuatoriano De Credito Educativo Y Becas	Services	23562	476299	14951	0			N/A
EC1790004392001	Quito	Casa Moeller Martinez C.A.	Services	23398	17088	14951	2	Mr Daniela Maria Del Carmen Moeller Flores, Mr Willy Hermann Moeller Flores, Spatz Moeller Hanns Udo Leonhard Hrdrs	EC	Mr Willy Alberto Moeller Erazo
EC0991363041001	Guayaquil	Farbem S.A.	Services	23159	0	14951	2	Doan Ngoc Quy, Mr Binh Vinh Lam Huynh	US	N/A
EC1791269489001	Quito	Aditmaq Aditivos Y Maquinarias Cia. Ltda.	Wholesale	23086	18407	14951	0	Mr Diego Coronel Urbina, Mr Fausto Pacifico Moncayo Montalvo, Mrs Carmen Alicia Moncayo Montalvo, Mrs Maria Alicia Montalvo Montalvo, Mrs Maria Valeria Moncayo Montalvo	EC	Ms Maria Alicia Montalvo Montalvo
EC0991295542001	Guayaquil	Hispana De Seguros Sa	Services	22787	29921	14951	0	Buffettinvest S.A., Inmobiliaria Santisabela S.A., Invercash S.A.	EC	N/A
EC20748	Ambato	Cooperativa De Ahorro Y Credito San Francisco Ltda	Services	22328	250964	14951	0			N/A
EC1790266443001	Guayaquil	Mamut Andino Ca	Services	22050	28374	14951	0			Mr Rafael Gallego Ollero
EC0992277874001	Guayaquil	Concerroazul S.A.	Services	21742	24739	14951	0			Mr Julio De Blas Caballero
EC0990135630001	Guayaquil	Calbaq S.A	Manufacturing	21599	13625	14951	2	Calbaq International S.A., Mr Boris Andres Jarrin Stagg	PA,EC	Mr Boris Enrique Jarrin Rivadeneira
EC30206LE	Guayaquil	Agencia Naviera Agnamar S.A.	Wholesale; Retail	21523	6970	14951	0			Ms Maria Del Rosario Escobar Manriquez De Arizaga
EC0991321764001	Quito	Kuehne + Nagel S.A.	Services	21389	0	14951	357	Nagel International Ag, KÌ£ÒÌ£_Ì£ÒÌ¢åHne	CH	N/A
EC0991321489001	Guayaquil	Koenig & Partners S.A.	Services	21039	0	14951	0			N/A
