code	no_of_companies	shareholder_Name	shareholder_Country
EC1390000991001	2	Alespalma S.A., Alvarez Chiriboga Milagro Maria De La Cruz, Banco Del Instituto Ecuatoriano De Seguridad Social, Bellavista Cloud Forest S.A. Bellaforest, Comisionistas Bursatiles Combursatil Casa De Valores S.A., Empronort Overseas Inc, Fondo De Inversion Social De Los Profesores Y Trabajadores De La Puce - Fispuce Fcpc, Fotomat S.A., Inmobiliaria As-Domus C. A., Inmobiliaria Palvi Ca, Mr Alberto Acosta Burneo, Mr Diego Alvarez Plaza, Mr Francisco Alvarez Diez Santiago, Mr Jaime Jose Acosta Espinosa, Mr Oswaldo Alvarez Plaza, Mr Patricio Alvarez Plaza, Mr Pedro Jose Ramon Alvarez Villota, Mrs Ana Maria Alvarez Freile, Mrs Carmen Rosa Margot Alvarez Chiriboga, Mrs Ines Alvarez Guarderas, Mrs Lourdes Alvarez Drouet, Mrs Marcia Patricia Alvarez Chiriboga, Mrs Maria Del Carmen Alvarez Villota, Mrs Maria Susana Margoth Alvarez Chiriboga, Mrs Teresa Dolores Alvarez Barba, Sociedad Protectora De Artesanos	EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC
EC1760003090001	37	Ecuador	EC
EC1791413237001	13	Banco Del Instituto Ecuatoriano De Seguridad Social, Compania Allegro Ecuador S.A., Fondo De Cesantia Del Magisterio Ecuatoriano Fmce-Fcpc, Servicio De Cesantia De La Policia Nacional	EC, EC, EC, EC
EC1790236862001	33	Inversiones Imbabura Sa	PE
EC1790098354001	2	Laskfor Management Inc, Others, Sandbeck Fice Company Inc	
EC0190005070001	543	Arhus Universal Corp., Continental Ag, Doral Development S.A., Empronorte Overseas Inc.	PA, DE, PA, PA
EC0992106131001	5	Banco Del Instituto Ecuatoriano De Seguridad Social, Bienes Raices Y Muebles Sa, Carciente Oswaldo Leon, Casa Y Campo Sa Cycsa, Cerapor S.A., Congregacion Educacional Del Verbo Divino En El Ecuador, Costa Costa Maria De Los Angeles, Fideicomiso Mercantil Numero 1 M-02-011-03 Fondo Ambiental Nacional-Fan, Golser International Sa, Holding Sola & Sola Solacciones S.A., Ifecor S.A., Ingeperfec S.A., Inmobiliaria Equinoccial S.A. Inequisa, Inmobiliaria Rocafuerte Ca Irca, Inmobiliaria Valmar Sa, Instituto Catequista Dolores Sopena, Inversiones Astoria S.A., Inversiones Y Predios San Pedro Sa, Jelta Properties Ltd, Junta De Beneficencia De Guayaquil, Juxama Industrial Holdings Limited Partnership, Megaholdings Assets C.V., Mr Emilio Isaias Mohauad, Mr Enrique Marcos Stagg Xavier, Mr Jorge Elias Yunes Dahik, Mr Jorge Ward Adum Elias, Mr Jose Rafael Guevara Aguirre, Mr Pedro Alejandro Englert, Mr Victor Gonzalez Portes Mariano, Mrs Carla Maria Ferrari, Mrs Corina Cozza Englert, Mrs Delia Dolores Gomez Rosales, Mrs Jacinta Eulalia Hington Moreira, Mrs Veronica Maria Reyes Tous, Oftanol S.A., Peal S.A, Predimasa Predial Diana Maria Sa, Premier Stock Investments Limited, Public, Seguros Oriente Sa, Stellia Sa, Torquemada Global Cv	EC, EC, CH, EC, EC, EC, EC, EC, UY, EC, UY, EC, EC, EC, EC, EC, EC, EC, VG, EC, EC, NL, EC, EC, EC, EC, EC, AT, EC, IT, AT, EC, EC, ES, EC, EC, EC, EC, EC, UY, PA
EC1790007502001	4	Grupo Futuro Grufusa S.A.	EC
EC0991344004001	73	Duferco C.E.C. Sa, Duferco International Trading Holdi Ng Sa	CH, LU
EC1790014797001	2	Automotores Y Anexos S.A., Lute International Corp., Malo Borrero Alicia De Los Dolores, Mr Federico Malo Torres, Mr Federico Malo Vergara, Mr Juan Sebastian Cordero Espinosa, Mr Leonardo Gil Malo Alvarez, Mr Nicolas Espinosa Maldonado, Mrs Fabiola Malo Vergara, Mrs Maria Clara Crespo Toral, Mrs Maria Lorena Cordero Espinosa, Mrs Maria Malo Vergara, Mrs Viviana Patricia Cordero Espinosa, Niagara Investment Service Llc	EC, PA, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, US
