code	City	Company_Name	Main_Activity	Operating_Revenue	Total_Assets	Revenue_Range	No_of_Companies	Shareholder_Name	Shareholder_Country	CEO_Name
EC1792107423001	Quito	Sweaden Compania De Seguros Y Reaseguros Sa	Services	20907	24892	14951	0	Mr Amilcar Vonn Paredes Garcia, Mr Galo Patricio Mancheno Villacreses, Mr Telmo Nicanor Rodriguez Gonzalez, Mrs Fabiola Tarcila Villacreses Salinas, Rodrigo Salomon Moya Vaca	EC	N/A
EC0990856583001	Guayaquil	Dupocsa Protectores Quimicos Para El Campo S.A.	Manufacturing	20843	20143	14951	2	Grupo Crystal Chemical Cryschem S.A., Rilmi Sa	CR,EC	Mr Loy L Amack Perez
EC0991274545001	Guayaquil	Inmobiliaria Del Sol S.A.	Services	20815	75178	14951	0			Ms Cecilia Marieta Aragon Guerrero De Pita
EC1792132525001	Quito	Z&U Med Cia. Ltda.	Services	20230	0	14951	0	Mrs Amalia Laura Simona Ulici, Mrs Angela Nicoleta Ulici, Mrs Erika Monica Zoldan Marcovich	RO,EC	N/A
EC1791048814001	Quito	Construcciones Y Servicios De Mineria Consermin S.A.	Services	19797	75290	14951	2	Ecuatoriana De Servicios Inmobiliaria Y Construcciones Eseico S.A., Mr Edgar Roman Salas Leon, Mr Juan Carlos Farto Ribadeneira, Mr Ramiro Leonardo Galarza Andrade	EC	Mr Edgar Roman Salas Leon
EC1792007208001	Quito	Compteco Compra Por Telefono Consorcio Comercial S.A.	Retail	19700	0	14951	0	Invesplan Lp, Mr Santiago Molina Rojas Franklin	NZ,EC	N/A
EC53516	Guayaquil	Cooperativa De Ahorro Y Credito Oscus Ltda	Services	19550	297931	14951	0			Directors / managers / contacts are available, yet none related to the selected filter
EC20749	Esquina	Cooperativa De Ahorro Y Credito Riobamba	Services	19493	239198	14951	0			N/A
EC0992346701001	Quito	Fideram S.A.	Services	19377	0	14951	0			N/A
EC1790580113001	Quito	H.O.V. Hotelera Quito Sa	Services	19207	44105	14951	0	Hotel Investment Llc, Ifecor S.A., Nig- Nova Industrial Group Llc	UY,US	Mr Luis Arsenio Villacres Smith
