code	City	Company_Name	Main_Activity	Operating_Revenue	Total_Assets	Revenue_Range	No_of_Companies	Shareholder_Name	Shareholder_Country	CEO_Name
EC1768153530001	Quito	Empresa Publica De Hidrocarburos Del Ecuador - Ep Petroecuador	Manufacturing	9284455	9661557	3180127	37	Ministerio De Hidrocarburos	EC	C. Manuel Parra
EC1790016919001	Quito	Corporacion Favorita C.A.	Wholesale; Retail	1958295	1342992	1088652	5	Advantage Allied Partners Sociedad Anonima, Agm Investing Inc., Alcazar Holdings, Llc, Arhus Universal Corp., Arisaig Latin America Fund Llc., Bargello Holdings, Llc, Beagle Paw Sociedad Anonima, Castile Holdings Llc, Daroco Holdings Llc, Empresa De Inversion Sagitario Eminsa Corp Sociedad Anonima, Empronorte Overseas Inc., Fininvest Overseas Inc., Fonseca Holdings Llc, Frow Holdings, Llc, Girasol Holdings Llc, Glion Investment Group Llc, Good Sheppard Investments Llc, Harlano Holdings Llc., Isla Dorada Holdings, Llc, Journey Holdings, Llc, Marias Orchard Holdings Llc, Maynada Holdings Llc, Skye Partners Limited Via Its Funds, Tierra Maxima Trust, Wesf Assets Foundation Llc	VG,US,MU,PA,CR,ES	Mr Sidney Ricardo Wright Duran Ballen
EC1790010937001	Quito	Banco Pichincha C.A.	Services	1236135	13187939	1088652	14	Fideicomiso Acciones Bp Cinco, Fideicomiso Acciones Bp Cuatro, Fideicomiso Acciones Bp Diez, Fideicomiso Acciones Bp Dos, Fideicomiso Acciones Bp Nueve, Fideicomiso Acciones Bp Ocho, Fideicomiso Acciones Bp Seis, Fideicomiso Acciones Bp Siete, Fideicomiso Acciones Bp Tres, Fideicomiso Acciones Bp Uno, Fideicomiso Acciones Diners Bp, Fideicomiso Dos, Fideicomiso P Uno, Mr Fidel Egas Grijalva		Mr Dario Fidel Alejandro Egas Grijalva
EC0990004196001	Guayaquil	Corporacion El Rosado S.A.	Retail	1051619	620249	372678	0	Fusgal Trading S.A., Mazal Worlwide S.A., Mr Danny David Czarninski Baier, Mr Jacobo Czarninski Baier Johny, Mrs Silvia Czarninski Baier Vivian, North Park Avenue Investment Company Llc, Upper Hudson Investment Company Llc, Upper New York Investment Company Llc	UY,US,EC,VG	Mr Johny Jacobo Czarninski Baier
EC1790319857001	Quito	Procesadora Nacional De Alimentos C.A. Pronaca	Manufacturing	1032734	687809	372678	2	Danpark Enterprises Ltd Llc, Fideicomiso Gb, Haymarket Capital Ventures Llp, Holding De Empresas Ecuatorianas Holdecuador S.A., Keypoint Investment Limited Company Llc, Mr Christian Jan Bakker Villacreces, Mr Hugo Alejandro Jarrin Sanchez, Mr John William Bakker Villacreces, Mrs Ximena Amada Montalvo Paredes, Pioneer Hi Bred International Inc	EC,US,GB	Mr Luis Bakker Guerra
EC1791256115001	Quito	Otecel S.A.	Services	680286	850569	372678	0	Mr Francisco Donoso Andres		N/A
EC0990858322001	Guayaquil	Distribuidora Farmaceutica Ecuatoriana Difare S.A.	Wholesale	640498	251676	372678	3	Holding Grupo Difare Cia. Ltda., Mrs Juana Benilda Arnao Ramirez	EC	Mr Carlos Enrique Cueva Gonzalez
EC0990017514001	Guayaquil	Compania De Tiendas Industriales Asociadas Tia S.A.	Retail	602824	228959	372678	0	Grant Invest Pte Ltd, Innoparticipations Lp, Innovent Investment Lp, Innovent Investments Sa, Mr Daniel Y Rafael Nunes Varella Rodriguez, Reco S.A.	CH,UY,NZ,GB,BR,SG	Mr Pedro Pascual Gonzalez Villon
EC0991383808001	Guayaquil	Holcim Ecuador S.A.	Manufacturing; Wholesale	557757	689296	372678	0			Directors / managers / contacts are available, yet none related to the selected filter
EC0990032246001	Quito	Nestle Ecuador S.A	Manufacturing	514044	308129	372678	973	Maggi-Unternehmungen Ag, Nestle S.A.	CH	Munoz Maryelis Chacon
EC0990023549001	Guayaquil	Cerveceria Nacional Cn Sa	Manufacturing	502548	482535	372678	1020	Banco Del Instituto Ecuatoriano De Seguridad Social, Sab Colombia S A S, Sabmiller Limited, Sabmiller Southern Investments Limited	CO,GB,EC	Ms Martha Fabiola Mata Torres
EC1390012949001	Manta	La Fabril S.A.	Manufacturing	467377	330639	372678	4	Holding La Fabril S.A. Holdingfabril, Towertrust Inc., Vasquez Alarcon Nancy Atenaida	PA,EC	Mr Carlos Esteban Gonzalez Artigas Diaz
EC1791958071001	Quito	Constructora Mazar Impregilo-Herdoiza Crespo	Services	396486	0	372678	315	Salini Impregilo S.P.A., Salini Simonpietro E C. - Societa In Accomandita Per Azioni	IT	N/A
EC0992724919001	Guayaquil	Holding Tonicorp S.A.	Manufacturing	374963	278306	372678	3	Arca Ecuador Sa, Banco Del Instituto Ecuatoriano De Seguridad Social, Coca-Cola Company (The), Jv Toni Sl.	US,EC,ES	Mr Francisco Jose Alarcon Alcivar
EC0990789061001	Guayaquil	Distribuidora Importadora Dipor S.A.	Wholesale	343122	74896	127579	3	Holding Tonicorp S.A., Jv Toni Sl., Plasticos Ecuatorianos S.A	ES,EC	Mr Juan Carlos Freile Ramadan
EC0990049459001	Guayaquil	Banco De Guayaquil Sa	Services	317658	3908326	127579	2	Ceramix S.A., Corporacion Multibg S.A., Fideicomiso Barandua, Fideicomiso Mercantil Adm. Inv. Pertenencia Del Bg, Frontaura Global Frontier Fund Holdings Llc, Monarch Cia. Ltda, Mr Jorge Anibal Paez Jaramillo, Mr Juan Fernandez Nelly,  Parra Zamora Lenin Farahon, Servicio De Cesantia De La Policia Nacional	EC	Mr Danilo Carrera Drouet
EC0990005737001	Guayaquil	Banco Del Pacifico	Services	317501	4294166	127579	37	Corporacion Financiera Nacional Cfn	EC	Ing. Francisco Javier Ortega Gomez
EC1790004724001	Quito	Aceria Del Ecuador C.A	Manufacturing	299467	355179	127579	0	Basic Materials Investments Llc, Elerayna Bay Llc, Fideicomiso Tenentes, Hard Steel, Llc, Inversiones Alabamas Corporation, Inversiones Panamaribo S.A., Mr Acosta Andrade Juan Bernardos, Mrs Maria Gabriela Avellan Cobo, Mrs Silvia Patricia Avellan Arteta, Singletary Holdings L L C	PA,EC,US	Mr Carlos Avellan Artefa
EC0990326606001	Guayaquil	Reybanpac Rey Banano Del Pacifico C.A.	Manufacturing; Wholesale	291923	541274	127579	4	Cartonera Andina Sa,    Scylla Limited Partnership	NZ,EC	Mr Rodrigo Duenas Petit
EC0990637679001	Guayaquil	Exportadora De Alimentos S. A.	Manufacturing; Wholesale	282953	66993	127579	2	Rosales Pino Cristina De Lourdes, Rosales Pino De Cordovez Alicia De Lourdes	EC	Mr Juan Xavier Cordovez Ortega
EC0990006687001	Guayaquil	Agripac S.A.	Wholesale	282304	237470	127579	3	Aeroagripac S.A., Mr Colin Robert Armstrong Wilson, Mrs Cecilia Alexandra Luna Lopez De Armstrong	GB,EC	Mr Colin Robert Armstrong Wilson
EC1790283380001	Quito	Diners Club Del Ecuador	Services	280326	1595519	127579	0			Directors / managers / contacts are available, yet none related to the selected filter
EC0990633436001	Quito	La Ganga R.C.A. S.A.	Retail	263805	212877	127579	5	Mr Carlos Eduardo Garcia Baquerizo,  Vicgrup S.A.	EC	Mr Carlos Eduardo Fuentes Estrellas
EC1791984722001	Quito	Farmaenlace Cia. Ltda.	Wholesale	256323	88527	127579	0	Mr Jorge Roberto Ortiz Cevallos, Mr Jose Maria Vega Orono, Mr Pablo Ernesto Ortiz Cevallos, Mr Segundo Patricio Espinosa Valencia, Mr Xavier Fernando Ortiz Cevallos, Mrs Magda Elizabeth Espinosa Valencia, Orceval Distribuciones Cia. Ltda.	EC	Mr Segundo Patricio Espinosa Valencia
EC0990011214001	Guayaquil	Almacenes De Prati S.A	Retail	252189	248269	127579	0	Degeli S.A., Matedeca Ltd, Pacific Home & Fashion Franchise Llc	US,BS	Mr Jaime Alfredo Freire Patino
EC0991295437001	Guayaquil	Gisis S.A	Manufacturing	244265	155854	127579	946	Inversiones Nutreco Limitada, Moxley Corporation S.A., Nutreco N.V., Percony International S.A.	NL,UY,CL	Mr Steven Rafferty
EC0990608504001	Duran	Operadora Y Procesadora De Productos Marinos Omarsa S.A.	Manufacturing	235211	109564	127579	2	Heptaseas S.A.,    Vandar Holdings Ltd	VG	Mr Aldo Jose Vanoni Darquea
EC1790368718001	Quito	Banco De La Produccion Sa - Produbanco	Services	226813	3554226	127579	19	Indipalma S.A, Laskfor Management Inc,  Promerica Financial Corporation	PA,EC	Mr Abelardo Antonio Pachano Bertero
EC0990064474001	Guayaquil	Seguros Sucre Sa	Services	222179	320219	127579	37	Corporacion Financiera Nacional Cfn, Hrdrs. De Heriberto Orces, Mr Leonidas Plaza Verduga, Mr Luis Cornejo Hidalgo	EC	N/A
EC0590038601001	Guayaquil	Novacero Sa	Manufacturing	220923	218683	127579	2	Carulen S.A., Mr Luis Arsenio Villacres Smith	EC	Ms Ruth Rosalia Velez Abarca
EC1390000991001	Quito	Industrias Ales C.A.	Manufacturing	204734	202435	127579	2	Alespalma S.A., Alvarez Chiriboga Milagro Maria De La Cruz, Banco Del Instituto Ecuatoriano De Seguridad Social, Bellavista Cloud Forest S.A. Bellaforest, Comisionistas Bursatiles Combursatil Casa De Valores S.A., Empronort Overseas Inc, Fondo De Inversion Social De Los Profesores Y Trabajadores De La Puce - Fispuce Fcpc, Fotomat S.A., Inmobiliaria As-Domus C. A., Inmobiliaria Palvi Ca, Mr Alberto Acosta Burneo, Mr Diego Alvarez Plaza, Mr Francisco Alvarez Diez Santiago, Mr Jaime Jose Acosta Espinosa, Mr Oswaldo Alvarez Plaza, Mr Patricio Alvarez Plaza, Mr Pedro Jose Ramon Alvarez Villota, Mrs Ana Maria Alvarez Freile, Mrs Carmen Rosa Margot Alvarez Chiriboga, Mrs Ines Alvarez Guarderas, Mrs Lourdes Alvarez Drouet, Mrs Marcia Patricia Alvarez Chiriboga, Mrs Maria Del Carmen Alvarez Villota, Mrs Maria Susana Margoth Alvarez Chiriboga, Mrs Teresa Dolores Alvarez Barba, Sociedad Protectora De Artesanos	EC	Mr Jose Iganacio Malo Donoso
EC1760003090001	Quito	Corporacion Financiera Nacional Cfn	Services	204515	3687398	127579	37	Ecuador	EC	Mr Camilo Saman Salem
EC1791413237001	Quito	Superdeporte S.A.	Retail	185292	106115	127579	13	Banco Del Instituto Ecuatoriano De Seguridad Social, Compania Allegro Ecuador S.A., Fondo De Cesantia Del Magisterio Ecuatoriano Fmce-Fcpc, Servicio De Cesantia De La Policia Nacional	EC	Mr Nelson Ivan Alberto Ayala Reyes
EC1790236862001	Quito	Unacem Ecuador S.A.	Manufacturing	178091	213011	127579	33	Inversiones Imbabura Sa,                                     Nan	PE	Mr Bertrand Pierre Charles Collomb
EC1790098354001	Quito	Banco Internacional, S.A.	Services	176371	2559327	127579	2	Laskfor Management Inc, Others, Sandbeck Finance Company Inc		Mr Raul Guerrero Andrade
EC0190005070001	Quito	Continental Tire Andina S.A.	Manufacturing	173442	155593	127579	543	Arhus Universal Corp., Continental Ag, Doral Development S.A., Empronorte Overseas Inc.	PA,DE	Mr Bauer Kristijan
EC0992106131001	Guayaquil	Inversancarlos S.A.	Services	171530	217019	127579	5	Banco Del Instituto Ecuatoriano De Seguridad Social, Bienes Raices Y Muebles Sa, Carciente Oswaldo Leon, Casa Y Campo Sa Cycsa, Cerapor S.A., Congregacion Educacional Del Verbo Divino En El Ecuador, Costa Costa Maria De Los Angeles, Fideicomiso Mercantil Numero 1 M-02-011-03 Fondo Ambiental Nacional-Fan, Golser International Sa, Holding Sola & Sola Solacciones S.A., Ifecor S.A., Ingeperfec S.A., Inmobiliaria Equinoccial S.A. Inequisa, Inmobiliaria Rocafuerte Ca Irca, Inmobiliaria Valmar Sa, Instituto Catequista Dolores Sopena, Inversiones Astoria S.A., Inversiones Y Predios San Pedro Sa, Jelta Properties Ltd, Junta De Beneficencia De Guayaquil, Juxama Industrial Holdings Limited Partnership, Megaholdings Assets C.V., Mr Emilio Isaias Mohauad, Mr Enrique Marcos Stagg Xavier, Mr Jorge Elias Yunes Dahik, Mr Jorge Ward Adum Elias, Mr Jose Rafael Guevara Aguirre, Mr Pedro Alejandro Englert, Mr Victor Gonzalez Portes Mariano, Mrs Carla Maria Ferrari, Mrs Corina Cozza Englert, Mrs Delia Dolores Gomez Rosales, Mrs Jacinta Eulalia Hington Moreira, Mrs Veronica Maria Reyes Tous, Oftanol S.A., Peal S.A, Predimasa Predial Diana Maria Sa, Premier Stock Investments Limited, Public, Seguros Oriente Sa, Stellia Sa, Torquemada Global Cv	CH,NL,VG,IT,EC,PA,AT,UY,ES	Mr Victor Gonzalez Portes Mariano
EC1790007502001	Quito	Seguros Equinoccial Sa	Services	170883	231870	127579	4	Grupo Futuro Grufusa S.A.	EC	N/A
EC0991344004001	Guayaquil	Ipac S.A	Manufacturing	159335	203869	127579	73	Duferco C.E.C. Sa, Duferco International Trading Holdi Ng Sa	CH,LU	Mr Heinz Rudolf Moeller Freile
EC1790014797001	Quito	Automotores Y Anexos S.A.	Manufacturing	159281	96325	127579	2	Automotores Y Anexos S.A., Lute International Corp., Malo Borrero Alicia De Los Dolores, Mr Federico Malo Torres, Mr Federico Malo Vergara, Mr Juan Sebastian Cordero Espinosa, Mr Leonardo Gil Malo Alvarez, Mr Nicolas Espinosa Maldonado, Mrs Fabiola Malo Vergara, Mrs Maria Clara Crespo Toral, Mrs Maria Lorena Cordero Espinosa, Mrs Maria Malo Vergara, Mrs Viviana Patricia Cordero Espinosa, Niagara Investment Service Llc	PA,US,EC	Mr Nicolas Aurelio Espinosa Maldonado
EC0990379017001	Guayaquil	Banco Bolivariano Ca	Services	158483	2939842	127579	2	Desinvest S.A., Grupo Wong, Ifecor S.A., Mr Andres Bluhm Carlsohn, Mr Gustavo Moeller Freile Werner, Sasetaf S.A.	UY,EC	Mr Jose Alejandro Salazar Barragan
EC1791240014001	Quito	Qbe Seguros Colonial Sa	Services	157931	166936	127579	254	Qbe Insurance Group Ltd	AU	N/A
EC0990026440001	Guayaquil	Sociedad Agricola E Industrial San Carlos S.A.	Manufacturing	154870	292583	127579	0	Alhaurin S.A., Banco Del Instituto Ecuatoriano De Seguridad Social, Bienes Raices Y Muebles Sa, Holding Sola & Sola Solacciones S.A., Jelta Properties Ltd, Junta De Beneficencia De Guayaquil, Juxama Industrial Holdings Limited Partnership, Megaholdings Assets C.V., Mr Oswaldo Leon Carciente, Mr Pedro Alejandro Englert, Mrs Corina Cozza Englert, Mrs Jacinta Eulalia Hington Moreira, Mrs Maria Carla Ferrari, Mrs Veronica Maria Reyes Tous, Oftanol S.A., Peal S.A, Predimasa Predial Diana Maria Sa, Premier Stock Investments Limited, Stellia Sa, Torquemada C.V.	CH,NL,VG,IT,EC,NZ,AT,UY,ES	Mr Victor Gonzalez Portes Mariano
EC1790516008001	Quito	Ace Seguros Sa (Ecuador)	Services	144077	127411	127579	467	Ace Ina International Holding, Ltd,               Nan	US	Mr Alejandro Benavides
EC1790049795001	Quito	Moderna Alimentos S.A.	Manufacturing	141410	113331	127579	0	 Seaboard Corp	US	Mr Alejandro Guzman Bernal
EC0991327371001	Guayaquil	Telconet S.A.	Manufacturing	139464	190786	127579	2	Mr Jan Tomislav Topic Feraud, Mr Marion Tomislav Topic Granados	EC	Mr Marion Tomislav Topic Granados
EC0992185228001	Guayaquil	Salica Del Ecuador S. A.	Services	131042	98340	127579	20	Albacora, Sociedad Anonima	ES	Mr Francisco Javier Munoz Alvarez
EC0990270236001	Guayaquil	Vepamil S.A.	Wholesale	129670	23521	127579	0	Hispanogroup S.A., Mrs Cecilia Irene Arosemena De Gonzalez Ruiz	EC	Mr Marcos Alejandro Parra Ramirez
EC0990005419001	Guayaquil	Compania Azucarera Valdez S.A.	Manufacturing	124681	259904	43674	2	Club Angala Sa, Compania Agricola La Julia S. A., Empacadora Del Litoral Empacar S.A., Fruit Shippers Limited	EC,BS	Mr Luis Ricardo Rivadeneira Davalos
EC1790009459001	Quito	Casabaca S.A.	Retail	120531	60051	43674	2	Baca Moscoso Alicia Olga Eulalias, Corporacion Casabaca Holding S.A., Mr Jaime Gonzalo Baca Moscoso	EC	Mr Fabian Esteban Baca Cobo
