code	City	Company_Name	Main_Activity	Operating_Revenue	Total_Assets	Revenue_Range	No_of_Companies	Shareholder_Name	Shareholder_Country	CEO_Name
EC0190055965001	Cuenca	Banco Del Austro S.A.	Services	118933	1456921	43674	3	   Novo & Associates (Usa) Llc, Southern Ohio Grou Llc		Mr Pedro Gonzalez
EC0990012202001	Quito	Productora Cartonera S. A.	Manufacturing; Wholesale	118412	123240	43674	6	Comercializadora De Papeles Y Cartones Surpapel S.A., Mr Oscar Antonio Illingworth Guerrero	EC	Mr Jose Anuar Millan Abadia
EC1791289927001	Quito	Seguros Del Pichincha Sa, Compania De Seguros Y Reaseguros	Services	116881	92721	43674	3	Geld-Holdings S.A., Mrs Patsy Mercedes Torres Toledo	EC	N/A
EC17345	Quito	Banco Nacional De Fomento	Services	114243	1564994	43674	0			N/A
EC1790010309001	Quito	Teojama Comercial S.A.	Wholesale	110377	154735	43674	3	Fideicomiso Teojama Acciones, Mr Antonio Malo Monsalve Manuel, Mr Ignacio Malo Monsalve Jacinto	EC	Mr Gilberto Bolivar Pazmino Arias
EC1792345928001	Quito	Worleyparsons International, Inc.	Wholesale	106949	0	43674	0			N/A
EC0990008167001	Guayaquil	Productos Metalurgicos S.A. Promesa	Wholesale	100140	74749	43674	0	Berosel S.A., Bifianco S.A., Kerisam S.A., Liesco S.A.	EC	Mr Alberto Enrique Bustamante Illingworth
EC1791109384001	Quito	Banco Solidario	Services	94602	677587	43674	2	    Orca Credit Holdings Llc	US	Mr Enrique Osvaldo Ferraro
EC1790475247001	Quito	Aig Metropolitana Compania De Seguros Y Reaseguros Sa	Services	93713	89088	43674	563	American International Underwriters Del Ecuador Sa, Chartis Latin America Investments Llc, Chartis Overseas Association, Compania Sinves S.A., Mr Georg Grunberg	BM,US,EC	N/A
EC0990014094001	Guayaquil	Induauto S.A.	Wholesale	88403	49202	43674	0	Fideicomiso De Garantia Administracion Y Pago Induauto-Cfn, Inmobiliaria Civil Capusa C.A., Inmobiliaria Gunsa C Ltda, Inmobiliaria Nemosil Sa, Inversiones Germania Sa, Mercaterra S.A., Mrs Denise Maria Barakat Isaias, Mrs Pricilla Janet Barakat Isaias	EC	Mr Thomas Wiener Leimdorfer
EC1390149219001	Manta	Eurofish S.A.	Wholesale	86732	106590	43674	0	Industrial Pesquera Iberoamericana S.A. Iberopesca, Mr Gian Sandro Perotti Coello, Mrs Nadia Elizabeth Torres Astudillo, Negocios Campo Grande S.A. Campogransa	EC	Mr Gian Sandro Perotti Coello
EC0990810311001	Guayaquil	Automotores Latinoamericanos Sa Autolasa	Retail	85914	26929	43674	3	Mr Alfonso Galarza Mackay Wilson, Mr Alfredo Galarza Campoverde Wilson, Mr Edgar Patricio Galarza Maldonado, Mr Fernando Wilson Galarza Mackay, Mr Rafael Galarza Solis Wilson, Mrs Karina Estela Galarza Flores, Mrs Narcisa Fernanda Galarza Flores, Mrs Natalia Semira Galarza Flores	EC	Mr Wilson Rafael Galarza Solis
EC0991028544001	Guayaquil	Interoc S.A.	Manufacturing	84748	84168	43674	3	Interoc Worldwide Llp, Mr Felipe Antonio Custer Hallett	GB,PE	Mr Felipe Antonio Custer Hallett
EC0991400427001	Guayaquil	Cartimex S.A.	Wholesale	84392	44867	43674	2	Mr Bernhard Fernando Andre Mortola, Mr Jorge Emilio Zambrano Poggi, Mr Jose Antonio Furoiani Villagomez, Mr Jose Antonio Luna Jijon, Mr Jose Luis Furoiani Zambrano, Pharmacaps Del Ecuador Pharmacaps S.A., Reyhansa S.A.	EC	Mr Jorge Emilio Zambrano Poggi
